id,question,category,target_signal,why_this,technique_tags
q1,Bağımlılık kavramını sizin için en anlamlı hale getiren deneyiminiz nedir?,Deneyim,Kişisel içgörüler,"Kişisel deneyimlerin paylaşılması, bağımlılığın derinlemesine anlaşılmasına yardımcı olur.","sokratik,hikaye"
q2,Bağlanma eksikliğinin bağımlılık üzerindeki etkilerini nasıl tanımlarsınız?,Analiz,Nörobilimsel anlayış,"Bağlanma eksikliğinin bağımlılığa etkisi üzerine düşünmek, katılımcıların konuyu derinlemesine incelemesine olanak tanır.","kontrast,sokratik"
q3,Bağımlılıkla mücadelede sosyal destek mekanizmalarının rolü sizce nedir?,Görüş,Sosyal etkileşim,"Sosyal destek mekanizmalarının önemini vurgulamak, katılımcıların bu konudaki farkındalığını artırır.","duyusal_enteg,eylem_kapanis"
q4,Kendi hayatınızda 'adını koyamadığınız bağlılıklar' nelerdir?,Kendini Tanıma,Farkındalık,"Bireylerin kendi bağımlılıklarını keşfetmeleri, iyileşme sürecinin ilk adımıdır.","hikaye,somut"
q5,Meditasyon ve içsel çalışmaların bağımlılıkla başa çıkmadaki etkilerini nasıl değerlendirirsiniz?,Değerlendirme,İçsel duygular,"Meditasyonun etkilerini değerlendirmek, katılımcıların kendi deneyimlerini paylaşmalarını teşvik eder.","duyusal_enteg,sokratik"
q6,Bağımlılığın travma ile ilişkisini nasıl yorumluyorsunuz?,Yorum,Kavramların derinlemesine analizi,"Travmanın bağımlılıkla ilişkisini anlamak, katılımcıların konuyu daha derinlemesine incelemesine olanak tanır.","kontrast,sokratik"
q7,Bağımlılık sürecinde karşılaştığınız en büyük zorluk neydi?,Deneyim,Kişisel zorluklar,"Kişisel zorlukların paylaşılması, grup içinde empati ve destek oluşturur.","hikaye,eylem_kapanis"
q8,Duygusal ihtiyaçlarınızı tanıma sürecinde hangi adımları attınız?,Kendini Tanıma,Farkındalık,"Duygusal ihtiyaçların tanınması, iyileşme sürecinin önemli bir parçasıdır.","duyusal_enteg,somut"
q9,Bağımlılıkla ilgili toplumsal stigma ile nasıl başa çıkıyorsunuz?,Strateji,Toplumsal etkileşim,"Stigma ile başa çıkma stratejileri, katılımcıların toplumsal baskılarla başa çıkmalarına yardımcı olur.","kontrast,eylem_kapanis"
q10,Nüks ve tetikleyicilerle başa çıkma stratejilerinizi paylaşır mısınız?,Strateji,Kişisel stratejiler,"Nüks ile başa çıkma stratejilerinin paylaşılması, grup içinde öğrenmeyi teşvik eder.","sokratik,eylem_kapanis"
q11,Bağımlılıkla ilgili en çok hangi bilgileri öğrenmek istiyorsunuz?,İlgi Alanları,Öğrenme motivasyonu,"Katılımcıların ilgi alanlarını belirlemek, eğitim sürecini daha etkili hale getirir.","duyusal_enteg,somut"
q12,Bağımlılığın sosyal bağ kurma yeteneği üzerindeki etkilerini nasıl açıklarsınız?,Analiz,Kavramların derinlemesine analizi,"Sosyal bağ kurmanın bağımlılık üzerindeki etkilerini anlamak, katılımcıların konuyu daha iyi kavramalarına yardımcı olur.","kontrast,sokratik"
q13,Bağımlılıkla mücadelede hangi eylem adımlarını atmayı düşünüyorsunuz?,Eylem Planı,Gelecek hedefleri,"Katılımcıların eylem planı oluşturması, öğrenilen bilgilerin pratiğe dökülmesine yardımcı olur.","eylem_kapanis,somut"
q14,Bağımlılığın köklerini keşfetme sürecinde hangi içgörüler elde ettiniz?,İçgörü,Kişisel farkındalık,"Kendi içgörülerinizi paylaşmak, grup içinde derin bir tartışma ortamı oluşturur.","hikaye,sokratik"
q15,Bağımlılıkla ilgili en çok hangi yanlış anlamalara maruz kaldınız?,Yanlış Anlamalar,Toplumsal algılar,"Yanlış anlamaların paylaşılması, toplumsal farkındalığı artırır.","kontrast,eylem_kapanis"
q16,Bağımlılık sürecinde kendinize nasıl şefkat gösteriyorsunuz?,Şefkat,Duygusal iyilik hali,"Kendine şefkat gösterme, iyileşme sürecinin önemli bir parçasıdır.","duyusal_enteg,somut"
q17,Bağımlılıkla ilgili en çok hangi kaynaklardan faydalandınız?,Kaynaklar,Bilgi edinme,"Kaynakların paylaşılması, grup içinde bilgi alışverişini teşvik eder.","duyusal_enteg,eylem_kapanis"
q18,Bağımlılık sürecinde yaşadığınız en büyük başarı nedir?,Başarılar,Motivasyon,"Başarıların paylaşılması, grup içinde motivasyonu artırır.","hikaye,eylem_kapanis"
q19,Bağımlılıkla mücadelede en çok hangi destek sistemlerine ihtiyaç duyuyorsunuz?,Destek Sistemleri,Gelecek hedefleri,"Destek sistemlerinin belirlenmesi, katılımcıların ihtiyaçlarını anlamalarına yardımcı olur.","sokratik,eylem_kapanis"
q20,Bağımlılıkla ilgili en çok hangi kavramları merak ediyorsunuz?,Merak,Öğrenme motivasyonu,"Katılımcıların merak ettikleri kavramları belirlemek, eğitim sürecini daha etkili hale getirir.","duyusal_enteg,somut"
